decile,mean_target,n
1,0.5445356847698005,52606
2,0.49302176390525526,52606
3,0.6209216112230524,52606
4,0.5926311167927603,52606
5,0.5844457985591003,52606
6,0.47144001707029737,52606
7,0.4629652610158525,52606
8,0.5077785585864719,52606
9,0.546060652834276,52606
10,0.48687854520396806,52606
