model,MAE,sd,RMSE,sd_rmse,train_s
Ridge,0.03487384132516375,0.0,0.05035007995371439,0.0,0.02640726000536233
Random Forest,0.030682891439454775,1.639858872899393e-05,0.046314597749306165,2.705895301666313e-05,126.14655721999006
LightGBM,0.029672764097318928,6.86467746749896e-05,0.044766370312364676,7.456950059068708e-05,8.365412680001464
XGBoost,0.029894696754352513,5.4012158297079475e-05,0.04488411585436061,7.241176475549712e-05,7.645312540000305
