h,LTSF_Linear,LightGBM_global,Persistence,RandomForest,Ridge,SeasonalNaive
1,0.0326,0.0221,0.0521,0.0226,0.031,0.0702
24,0.0378,0.0336,0.0382,0.033,0.0388,0.053
