loc,mean,count
NL,0.662,26303
SG,0.648,26303
US,0.638,26303
ID,0.636,26303
DE,0.61,26303
GB,0.47,26303
AE,0.453,26303
ES,0.404,26303
IT,0.37,26303
NG,0.359,26303
