,count,mean,std,min,1%,5%,50%,95%,99%,max
traffic,526060.0,0.531,0.214,0.0,0.105,0.179,0.541,0.861,0.939,1.0
cloud_inc,526060.0,0.01,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
