,count,unique,top,freq,mean,min,25%,50%,75%,max,std
ts,526840,,,,2025-03-16 07:25:40.338622976+00:00,2023-09-15 08:00:00+00:00,2024-06-15 08:00:00+00:00,2025-03-16 07:30:00+00:00,2025-12-15 07:00:00+00:00,2026-09-15 06:00:00+00:00,
traffic,526840.0,,,,0.5310375713727127,0.0,0.3601235,0.5410010000000001,0.7043125,1.0,0.21405634741029175
loc,526840,20,US,26342,,,,,,,
